Component,Purpose,Backend/Tech,Main Route
Email System 1,Mail.com SMTP Integration - set 1,SMTP,/send-invoice-1
Quote Builder 1,PDF + Email - set 1,WeasyPrint,/generate-quote-1
Invoice System 1,PDF + Scheduler - set 1,Custom,/generate-invoice-1
Client CRM 1,"Contact, project tracking - set 1",SQL,/clients-1
Staff CRM 1,"Roles, hours - set 1",SQL,/staff-1
Scheduler 1,Calendar with FullCalendar.js - set 1,JSON API,/calendar-1
Notifications 1,Toast + Mail/SMS - set 1,MailerLite/Twilio,/notifications-1
Checklist 1,Job-specific tasks - set 1,SQL,/jobs/:id/checklist-1
Inventory 1,Material tracking - set 1,SQL,/inventory-1
Financial Reports 1,"P&L, tax, forecasting - set 1",SQL,/reports-1
Client Portal 1,"Quotes, Invoices - set 1",Session/JWT,/portal/:clientId-1
Staff Portal 1,Job toolkit - set 1,PIN Access,/portal/:staffId-1
Data Tools 1,Upload/export CSV - set 1,Pandas,/data/upload-1
Services 1,Manage service templates - set 1,SQL,/services-1
Analytics 1,Growth & revenue - set 1,Plotly,/analytics-1
User Control 1,"Permissions, roles - set 1",Flask-Login,/admin/users-1
Photo Uploads 1,Before/after images - set 1,Cloud storage,/job/:id/photos-1
Email System 2,Mail.com SMTP Integration - set 2,SMTP,/send-invoice-2
Quote Builder 2,PDF + Email - set 2,WeasyPrint,/generate-quote-2
Invoice System 2,PDF + Scheduler - set 2,Custom,/generate-invoice-2
Client CRM 2,"Contact, project tracking - set 2",SQL,/clients-2
Staff CRM 2,"Roles, hours - set 2",SQL,/staff-2
Scheduler 2,Calendar with FullCalendar.js - set 2,JSON API,/calendar-2
Notifications 2,Toast + Mail/SMS - set 2,MailerLite/Twilio,/notifications-2
Checklist 2,Job-specific tasks - set 2,SQL,/jobs/:id/checklist-2
Inventory 2,Material tracking - set 2,SQL,/inventory-2
Financial Reports 2,"P&L, tax, forecasting - set 2",SQL,/reports-2
Client Portal 2,"Quotes, Invoices - set 2",Session/JWT,/portal/:clientId-2
Staff Portal 2,Job toolkit - set 2,PIN Access,/portal/:staffId-2
Data Tools 2,Upload/export CSV - set 2,Pandas,/data/upload-2
Services 2,Manage service templates - set 2,SQL,/services-2
Analytics 2,Growth & revenue - set 2,Plotly,/analytics-2
User Control 2,"Permissions, roles - set 2",Flask-Login,/admin/users-2
Photo Uploads 2,Before/after images - set 2,Cloud storage,/job/:id/photos-2
Email System 3,Mail.com SMTP Integration - set 3,SMTP,/send-invoice-3
Quote Builder 3,PDF + Email - set 3,WeasyPrint,/generate-quote-3
Invoice System 3,PDF + Scheduler - set 3,Custom,/generate-invoice-3
Client CRM 3,"Contact, project tracking - set 3",SQL,/clients-3
Staff CRM 3,"Roles, hours - set 3",SQL,/staff-3
Scheduler 3,Calendar with FullCalendar.js - set 3,JSON API,/calendar-3
Notifications 3,Toast + Mail/SMS - set 3,MailerLite/Twilio,/notifications-3
Checklist 3,Job-specific tasks - set 3,SQL,/jobs/:id/checklist-3
Inventory 3,Material tracking - set 3,SQL,/inventory-3
Financial Reports 3,"P&L, tax, forecasting - set 3",SQL,/reports-3
Client Portal 3,"Quotes, Invoices - set 3",Session/JWT,/portal/:clientId-3
Staff Portal 3,Job toolkit - set 3,PIN Access,/portal/:staffId-3
Data Tools 3,Upload/export CSV - set 3,Pandas,/data/upload-3
Services 3,Manage service templates - set 3,SQL,/services-3
Analytics 3,Growth & revenue - set 3,Plotly,/analytics-3
User Control 3,"Permissions, roles - set 3",Flask-Login,/admin/users-3
Photo Uploads 3,Before/after images - set 3,Cloud storage,/job/:id/photos-3
Email System 4,Mail.com SMTP Integration - set 4,SMTP,/send-invoice-4
Quote Builder 4,PDF + Email - set 4,WeasyPrint,/generate-quote-4
Invoice System 4,PDF + Scheduler - set 4,Custom,/generate-invoice-4
Client CRM 4,"Contact, project tracking - set 4",SQL,/clients-4
Staff CRM 4,"Roles, hours - set 4",SQL,/staff-4
Scheduler 4,Calendar with FullCalendar.js - set 4,JSON API,/calendar-4
Notifications 4,Toast + Mail/SMS - set 4,MailerLite/Twilio,/notifications-4
Checklist 4,Job-specific tasks - set 4,SQL,/jobs/:id/checklist-4
Inventory 4,Material tracking - set 4,SQL,/inventory-4
Financial Reports 4,"P&L, tax, forecasting - set 4",SQL,/reports-4
Client Portal 4,"Quotes, Invoices - set 4",Session/JWT,/portal/:clientId-4
Staff Portal 4,Job toolkit - set 4,PIN Access,/portal/:staffId-4
Data Tools 4,Upload/export CSV - set 4,Pandas,/data/upload-4
Services 4,Manage service templates - set 4,SQL,/services-4
Analytics 4,Growth & revenue - set 4,Plotly,/analytics-4
User Control 4,"Permissions, roles - set 4",Flask-Login,/admin/users-4
Photo Uploads 4,Before/after images - set 4,Cloud storage,/job/:id/photos-4
Email System 5,Mail.com SMTP Integration - set 5,SMTP,/send-invoice-5
Quote Builder 5,PDF + Email - set 5,WeasyPrint,/generate-quote-5
Invoice System 5,PDF + Scheduler - set 5,Custom,/generate-invoice-5
Client CRM 5,"Contact, project tracking - set 5",SQL,/clients-5
Staff CRM 5,"Roles, hours - set 5",SQL,/staff-5
Scheduler 5,Calendar with FullCalendar.js - set 5,JSON API,/calendar-5
Notifications 5,Toast + Mail/SMS - set 5,MailerLite/Twilio,/notifications-5
Checklist 5,Job-specific tasks - set 5,SQL,/jobs/:id/checklist-5
Inventory 5,Material tracking - set 5,SQL,/inventory-5
Financial Reports 5,"P&L, tax, forecasting - set 5",SQL,/reports-5
Client Portal 5,"Quotes, Invoices - set 5",Session/JWT,/portal/:clientId-5
Staff Portal 5,Job toolkit - set 5,PIN Access,/portal/:staffId-5
Data Tools 5,Upload/export CSV - set 5,Pandas,/data/upload-5
Services 5,Manage service templates - set 5,SQL,/services-5
Analytics 5,Growth & revenue - set 5,Plotly,/analytics-5
User Control 5,"Permissions, roles - set 5",Flask-Login,/admin/users-5
Photo Uploads 5,Before/after images - set 5,Cloud storage,/job/:id/photos-5
Email System 6,Mail.com SMTP Integration - set 6,SMTP,/send-invoice-6
Quote Builder 6,PDF + Email - set 6,WeasyPrint,/generate-quote-6
Invoice System 6,PDF + Scheduler - set 6,Custom,/generate-invoice-6
Client CRM 6,"Contact, project tracking - set 6",SQL,/clients-6
Staff CRM 6,"Roles, hours - set 6",SQL,/staff-6
Scheduler 6,Calendar with FullCalendar.js - set 6,JSON API,/calendar-6
Notifications 6,Toast + Mail/SMS - set 6,MailerLite/Twilio,/notifications-6
Checklist 6,Job-specific tasks - set 6,SQL,/jobs/:id/checklist-6
Inventory 6,Material tracking - set 6,SQL,/inventory-6
Financial Reports 6,"P&L, tax, forecasting - set 6",SQL,/reports-6
Client Portal 6,"Quotes, Invoices - set 6",Session/JWT,/portal/:clientId-6
Staff Portal 6,Job toolkit - set 6,PIN Access,/portal/:staffId-6
Data Tools 6,Upload/export CSV - set 6,Pandas,/data/upload-6
Services 6,Manage service templates - set 6,SQL,/services-6
Analytics 6,Growth & revenue - set 6,Plotly,/analytics-6
User Control 6,"Permissions, roles - set 6",Flask-Login,/admin/users-6
Photo Uploads 6,Before/after images - set 6,Cloud storage,/job/:id/photos-6
Email System 7,Mail.com SMTP Integration - set 7,SMTP,/send-invoice-7
Quote Builder 7,PDF + Email - set 7,WeasyPrint,/generate-quote-7
Invoice System 7,PDF + Scheduler - set 7,Custom,/generate-invoice-7
Client CRM 7,"Contact, project tracking - set 7",SQL,/clients-7
Staff CRM 7,"Roles, hours - set 7",SQL,/staff-7
Scheduler 7,Calendar with FullCalendar.js - set 7,JSON API,/calendar-7
Notifications 7,Toast + Mail/SMS - set 7,MailerLite/Twilio,/notifications-7
Checklist 7,Job-specific tasks - set 7,SQL,/jobs/:id/checklist-7
Inventory 7,Material tracking - set 7,SQL,/inventory-7
Financial Reports 7,"P&L, tax, forecasting - set 7",SQL,/reports-7
Client Portal 7,"Quotes, Invoices - set 7",Session/JWT,/portal/:clientId-7
Staff Portal 7,Job toolkit - set 7,PIN Access,/portal/:staffId-7
Data Tools 7,Upload/export CSV - set 7,Pandas,/data/upload-7
Services 7,Manage service templates - set 7,SQL,/services-7
Analytics 7,Growth & revenue - set 7,Plotly,/analytics-7
User Control 7,"Permissions, roles - set 7",Flask-Login,/admin/users-7
Photo Uploads 7,Before/after images - set 7,Cloud storage,/job/:id/photos-7
Email System 8,Mail.com SMTP Integration - set 8,SMTP,/send-invoice-8
Quote Builder 8,PDF + Email - set 8,WeasyPrint,/generate-quote-8
Invoice System 8,PDF + Scheduler - set 8,Custom,/generate-invoice-8
Client CRM 8,"Contact, project tracking - set 8",SQL,/clients-8
Staff CRM 8,"Roles, hours - set 8",SQL,/staff-8
Scheduler 8,Calendar with FullCalendar.js - set 8,JSON API,/calendar-8
Notifications 8,Toast + Mail/SMS - set 8,MailerLite/Twilio,/notifications-8
Checklist 8,Job-specific tasks - set 8,SQL,/jobs/:id/checklist-8
Inventory 8,Material tracking - set 8,SQL,/inventory-8
Financial Reports 8,"P&L, tax, forecasting - set 8",SQL,/reports-8
Client Portal 8,"Quotes, Invoices - set 8",Session/JWT,/portal/:clientId-8
Staff Portal 8,Job toolkit - set 8,PIN Access,/portal/:staffId-8
Data Tools 8,Upload/export CSV - set 8,Pandas,/data/upload-8
Services 8,Manage service templates - set 8,SQL,/services-8
Analytics 8,Growth & revenue - set 8,Plotly,/analytics-8
User Control 8,"Permissions, roles - set 8",Flask-Login,/admin/users-8
Photo Uploads 8,Before/after images - set 8,Cloud storage,/job/:id/photos-8
Email System 9,Mail.com SMTP Integration - set 9,SMTP,/send-invoice-9
Quote Builder 9,PDF + Email - set 9,WeasyPrint,/generate-quote-9
Invoice System 9,PDF + Scheduler - set 9,Custom,/generate-invoice-9
Client CRM 9,"Contact, project tracking - set 9",SQL,/clients-9
Staff CRM 9,"Roles, hours - set 9",SQL,/staff-9
Scheduler 9,Calendar with FullCalendar.js - set 9,JSON API,/calendar-9
Notifications 9,Toast + Mail/SMS - set 9,MailerLite/Twilio,/notifications-9
Checklist 9,Job-specific tasks - set 9,SQL,/jobs/:id/checklist-9
Inventory 9,Material tracking - set 9,SQL,/inventory-9
Financial Reports 9,"P&L, tax, forecasting - set 9",SQL,/reports-9
Client Portal 9,"Quotes, Invoices - set 9",Session/JWT,/portal/:clientId-9
Staff Portal 9,Job toolkit - set 9,PIN Access,/portal/:staffId-9
Data Tools 9,Upload/export CSV - set 9,Pandas,/data/upload-9
Services 9,Manage service templates - set 9,SQL,/services-9
Analytics 9,Growth & revenue - set 9,Plotly,/analytics-9
User Control 9,"Permissions, roles - set 9",Flask-Login,/admin/users-9
Photo Uploads 9,Before/after images - set 9,Cloud storage,/job/:id/photos-9
Email System 10,Mail.com SMTP Integration - set 10,SMTP,/send-invoice-10
Quote Builder 10,PDF + Email - set 10,WeasyPrint,/generate-quote-10
Invoice System 10,PDF + Scheduler - set 10,Custom,/generate-invoice-10
Client CRM 10,"Contact, project tracking - set 10",SQL,/clients-10
Staff CRM 10,"Roles, hours - set 10",SQL,/staff-10
Scheduler 10,Calendar with FullCalendar.js - set 10,JSON API,/calendar-10
Notifications 10,Toast + Mail/SMS - set 10,MailerLite/Twilio,/notifications-10
Checklist 10,Job-specific tasks - set 10,SQL,/jobs/:id/checklist-10
Inventory 10,Material tracking - set 10,SQL,/inventory-10
Financial Reports 10,"P&L, tax, forecasting - set 10",SQL,/reports-10
Client Portal 10,"Quotes, Invoices - set 10",Session/JWT,/portal/:clientId-10
Staff Portal 10,Job toolkit - set 10,PIN Access,/portal/:staffId-10
Data Tools 10,Upload/export CSV - set 10,Pandas,/data/upload-10
Services 10,Manage service templates - set 10,SQL,/services-10
Analytics 10,Growth & revenue - set 10,Plotly,/analytics-10
User Control 10,"Permissions, roles - set 10",Flask-Login,/admin/users-10
Photo Uploads 10,Before/after images - set 10,Cloud storage,/job/:id/photos-10
Email System 11,Mail.com SMTP Integration - set 11,SMTP,/send-invoice-11
Quote Builder 11,PDF + Email - set 11,WeasyPrint,/generate-quote-11
Invoice System 11,PDF + Scheduler - set 11,Custom,/generate-invoice-11
Client CRM 11,"Contact, project tracking - set 11",SQL,/clients-11
Staff CRM 11,"Roles, hours - set 11",SQL,/staff-11
Scheduler 11,Calendar with FullCalendar.js - set 11,JSON API,/calendar-11
Notifications 11,Toast + Mail/SMS - set 11,MailerLite/Twilio,/notifications-11
Checklist 11,Job-specific tasks - set 11,SQL,/jobs/:id/checklist-11
Inventory 11,Material tracking - set 11,SQL,/inventory-11
Financial Reports 11,"P&L, tax, forecasting - set 11",SQL,/reports-11
Client Portal 11,"Quotes, Invoices - set 11",Session/JWT,/portal/:clientId-11
Staff Portal 11,Job toolkit - set 11,PIN Access,/portal/:staffId-11
Data Tools 11,Upload/export CSV - set 11,Pandas,/data/upload-11
Services 11,Manage service templates - set 11,SQL,/services-11
Analytics 11,Growth & revenue - set 11,Plotly,/analytics-11
User Control 11,"Permissions, roles - set 11",Flask-Login,/admin/users-11
Photo Uploads 11,Before/after images - set 11,Cloud storage,/job/:id/photos-11
Email System 12,Mail.com SMTP Integration - set 12,SMTP,/send-invoice-12
Quote Builder 12,PDF + Email - set 12,WeasyPrint,/generate-quote-12
Invoice System 12,PDF + Scheduler - set 12,Custom,/generate-invoice-12
Client CRM 12,"Contact, project tracking - set 12",SQL,/clients-12
Staff CRM 12,"Roles, hours - set 12",SQL,/staff-12
Scheduler 12,Calendar with FullCalendar.js - set 12,JSON API,/calendar-12
Notifications 12,Toast + Mail/SMS - set 12,MailerLite/Twilio,/notifications-12
Checklist 12,Job-specific tasks - set 12,SQL,/jobs/:id/checklist-12
Inventory 12,Material tracking - set 12,SQL,/inventory-12
Financial Reports 12,"P&L, tax, forecasting - set 12",SQL,/reports-12
Client Portal 12,"Quotes, Invoices - set 12",Session/JWT,/portal/:clientId-12
Staff Portal 12,Job toolkit - set 12,PIN Access,/portal/:staffId-12
Data Tools 12,Upload/export CSV - set 12,Pandas,/data/upload-12
Services 12,Manage service templates - set 12,SQL,/services-12
Analytics 12,Growth & revenue - set 12,Plotly,/analytics-12
User Control 12,"Permissions, roles - set 12",Flask-Login,/admin/users-12
Photo Uploads 12,Before/after images - set 12,Cloud storage,/job/:id/photos-12
Email System 13,Mail.com SMTP Integration - set 13,SMTP,/send-invoice-13
Quote Builder 13,PDF + Email - set 13,WeasyPrint,/generate-quote-13
Invoice System 13,PDF + Scheduler - set 13,Custom,/generate-invoice-13
Client CRM 13,"Contact, project tracking - set 13",SQL,/clients-13
Staff CRM 13,"Roles, hours - set 13",SQL,/staff-13
Scheduler 13,Calendar with FullCalendar.js - set 13,JSON API,/calendar-13
Notifications 13,Toast + Mail/SMS - set 13,MailerLite/Twilio,/notifications-13
Checklist 13,Job-specific tasks - set 13,SQL,/jobs/:id/checklist-13
Inventory 13,Material tracking - set 13,SQL,/inventory-13
Financial Reports 13,"P&L, tax, forecasting - set 13",SQL,/reports-13
Client Portal 13,"Quotes, Invoices - set 13",Session/JWT,/portal/:clientId-13
Staff Portal 13,Job toolkit - set 13,PIN Access,/portal/:staffId-13
Data Tools 13,Upload/export CSV - set 13,Pandas,/data/upload-13
Services 13,Manage service templates - set 13,SQL,/services-13
Analytics 13,Growth & revenue - set 13,Plotly,/analytics-13
User Control 13,"Permissions, roles - set 13",Flask-Login,/admin/users-13
Photo Uploads 13,Before/after images - set 13,Cloud storage,/job/:id/photos-13
Email System 14,Mail.com SMTP Integration - set 14,SMTP,/send-invoice-14
Quote Builder 14,PDF + Email - set 14,WeasyPrint,/generate-quote-14
Invoice System 14,PDF + Scheduler - set 14,Custom,/generate-invoice-14
Client CRM 14,"Contact, project tracking - set 14",SQL,/clients-14
Staff CRM 14,"Roles, hours - set 14",SQL,/staff-14
Scheduler 14,Calendar with FullCalendar.js - set 14,JSON API,/calendar-14
Notifications 14,Toast + Mail/SMS - set 14,MailerLite/Twilio,/notifications-14
Checklist 14,Job-specific tasks - set 14,SQL,/jobs/:id/checklist-14
Inventory 14,Material tracking - set 14,SQL,/inventory-14
Financial Reports 14,"P&L, tax, forecasting - set 14",SQL,/reports-14
Client Portal 14,"Quotes, Invoices - set 14",Session/JWT,/portal/:clientId-14
Staff Portal 14,Job toolkit - set 14,PIN Access,/portal/:staffId-14
Data Tools 14,Upload/export CSV - set 14,Pandas,/data/upload-14
Services 14,Manage service templates - set 14,SQL,/services-14
Analytics 14,Growth & revenue - set 14,Plotly,/analytics-14
User Control 14,"Permissions, roles - set 14",Flask-Login,/admin/users-14
Photo Uploads 14,Before/after images - set 14,Cloud storage,/job/:id/photos-14
Email System 15,Mail.com SMTP Integration - set 15,SMTP,/send-invoice-15
Quote Builder 15,PDF + Email - set 15,WeasyPrint,/generate-quote-15
Invoice System 15,PDF + Scheduler - set 15,Custom,/generate-invoice-15
Client CRM 15,"Contact, project tracking - set 15",SQL,/clients-15
Staff CRM 15,"Roles, hours - set 15",SQL,/staff-15
Scheduler 15,Calendar with FullCalendar.js - set 15,JSON API,/calendar-15
Notifications 15,Toast + Mail/SMS - set 15,MailerLite/Twilio,/notifications-15
Checklist 15,Job-specific tasks - set 15,SQL,/jobs/:id/checklist-15
Inventory 15,Material tracking - set 15,SQL,/inventory-15
Financial Reports 15,"P&L, tax, forecasting - set 15",SQL,/reports-15
Client Portal 15,"Quotes, Invoices - set 15",Session/JWT,/portal/:clientId-15
Staff Portal 15,Job toolkit - set 15,PIN Access,/portal/:staffId-15
Data Tools 15,Upload/export CSV - set 15,Pandas,/data/upload-15
Services 15,Manage service templates - set 15,SQL,/services-15
Analytics 15,Growth & revenue - set 15,Plotly,/analytics-15
User Control 15,"Permissions, roles - set 15",Flask-Login,/admin/users-15
Photo Uploads 15,Before/after images - set 15,Cloud storage,/job/:id/photos-15
Email System 16,Mail.com SMTP Integration - set 16,SMTP,/send-invoice-16
Quote Builder 16,PDF + Email - set 16,WeasyPrint,/generate-quote-16
Invoice System 16,PDF + Scheduler - set 16,Custom,/generate-invoice-16
Client CRM 16,"Contact, project tracking - set 16",SQL,/clients-16
Staff CRM 16,"Roles, hours - set 16",SQL,/staff-16
Scheduler 16,Calendar with FullCalendar.js - set 16,JSON API,/calendar-16
Notifications 16,Toast + Mail/SMS - set 16,MailerLite/Twilio,/notifications-16
Checklist 16,Job-specific tasks - set 16,SQL,/jobs/:id/checklist-16
Inventory 16,Material tracking - set 16,SQL,/inventory-16
Financial Reports 16,"P&L, tax, forecasting - set 16",SQL,/reports-16
Client Portal 16,"Quotes, Invoices - set 16",Session/JWT,/portal/:clientId-16
Staff Portal 16,Job toolkit - set 16,PIN Access,/portal/:staffId-16
Data Tools 16,Upload/export CSV - set 16,Pandas,/data/upload-16
Services 16,Manage service templates - set 16,SQL,/services-16
Analytics 16,Growth & revenue - set 16,Plotly,/analytics-16
User Control 16,"Permissions, roles - set 16",Flask-Login,/admin/users-16
Photo Uploads 16,Before/after images - set 16,Cloud storage,/job/:id/photos-16
Email System 17,Mail.com SMTP Integration - set 17,SMTP,/send-invoice-17
Quote Builder 17,PDF + Email - set 17,WeasyPrint,/generate-quote-17
Invoice System 17,PDF + Scheduler - set 17,Custom,/generate-invoice-17
Client CRM 17,"Contact, project tracking - set 17",SQL,/clients-17
Staff CRM 17,"Roles, hours - set 17",SQL,/staff-17
Scheduler 17,Calendar with FullCalendar.js - set 17,JSON API,/calendar-17
Notifications 17,Toast + Mail/SMS - set 17,MailerLite/Twilio,/notifications-17
Checklist 17,Job-specific tasks - set 17,SQL,/jobs/:id/checklist-17
Inventory 17,Material tracking - set 17,SQL,/inventory-17
Financial Reports 17,"P&L, tax, forecasting - set 17",SQL,/reports-17
Client Portal 17,"Quotes, Invoices - set 17",Session/JWT,/portal/:clientId-17
Staff Portal 17,Job toolkit - set 17,PIN Access,/portal/:staffId-17
Data Tools 17,Upload/export CSV - set 17,Pandas,/data/upload-17
Services 17,Manage service templates - set 17,SQL,/services-17
Analytics 17,Growth & revenue - set 17,Plotly,/analytics-17
User Control 17,"Permissions, roles - set 17",Flask-Login,/admin/users-17
Photo Uploads 17,Before/after images - set 17,Cloud storage,/job/:id/photos-17
Email System 18,Mail.com SMTP Integration - set 18,SMTP,/send-invoice-18
Quote Builder 18,PDF + Email - set 18,WeasyPrint,/generate-quote-18
Invoice System 18,PDF + Scheduler - set 18,Custom,/generate-invoice-18
Client CRM 18,"Contact, project tracking - set 18",SQL,/clients-18
Staff CRM 18,"Roles, hours - set 18",SQL,/staff-18
Scheduler 18,Calendar with FullCalendar.js - set 18,JSON API,/calendar-18
Notifications 18,Toast + Mail/SMS - set 18,MailerLite/Twilio,/notifications-18
Checklist 18,Job-specific tasks - set 18,SQL,/jobs/:id/checklist-18
Inventory 18,Material tracking - set 18,SQL,/inventory-18
Financial Reports 18,"P&L, tax, forecasting - set 18",SQL,/reports-18
Client Portal 18,"Quotes, Invoices - set 18",Session/JWT,/portal/:clientId-18
Staff Portal 18,Job toolkit - set 18,PIN Access,/portal/:staffId-18
Data Tools 18,Upload/export CSV - set 18,Pandas,/data/upload-18
Services 18,Manage service templates - set 18,SQL,/services-18
Analytics 18,Growth & revenue - set 18,Plotly,/analytics-18
User Control 18,"Permissions, roles - set 18",Flask-Login,/admin/users-18
Photo Uploads 18,Before/after images - set 18,Cloud storage,/job/:id/photos-18
Email System 19,Mail.com SMTP Integration - set 19,SMTP,/send-invoice-19
Quote Builder 19,PDF + Email - set 19,WeasyPrint,/generate-quote-19
Invoice System 19,PDF + Scheduler - set 19,Custom,/generate-invoice-19
Client CRM 19,"Contact, project tracking - set 19",SQL,/clients-19
Staff CRM 19,"Roles, hours - set 19",SQL,/staff-19
Scheduler 19,Calendar with FullCalendar.js - set 19,JSON API,/calendar-19
Notifications 19,Toast + Mail/SMS - set 19,MailerLite/Twilio,/notifications-19
Checklist 19,Job-specific tasks - set 19,SQL,/jobs/:id/checklist-19
Inventory 19,Material tracking - set 19,SQL,/inventory-19
Financial Reports 19,"P&L, tax, forecasting - set 19",SQL,/reports-19
Client Portal 19,"Quotes, Invoices - set 19",Session/JWT,/portal/:clientId-19
Staff Portal 19,Job toolkit - set 19,PIN Access,/portal/:staffId-19
Data Tools 19,Upload/export CSV - set 19,Pandas,/data/upload-19
Services 19,Manage service templates - set 19,SQL,/services-19
Analytics 19,Growth & revenue - set 19,Plotly,/analytics-19
User Control 19,"Permissions, roles - set 19",Flask-Login,/admin/users-19
Photo Uploads 19,Before/after images - set 19,Cloud storage,/job/:id/photos-19
Email System 20,Mail.com SMTP Integration - set 20,SMTP,/send-invoice-20
Quote Builder 20,PDF + Email - set 20,WeasyPrint,/generate-quote-20
Invoice System 20,PDF + Scheduler - set 20,Custom,/generate-invoice-20
Client CRM 20,"Contact, project tracking - set 20",SQL,/clients-20
Staff CRM 20,"Roles, hours - set 20",SQL,/staff-20
Scheduler 20,Calendar with FullCalendar.js - set 20,JSON API,/calendar-20
Notifications 20,Toast + Mail/SMS - set 20,MailerLite/Twilio,/notifications-20
Checklist 20,Job-specific tasks - set 20,SQL,/jobs/:id/checklist-20
Inventory 20,Material tracking - set 20,SQL,/inventory-20
Financial Reports 20,"P&L, tax, forecasting - set 20",SQL,/reports-20
Client Portal 20,"Quotes, Invoices - set 20",Session/JWT,/portal/:clientId-20
Staff Portal 20,Job toolkit - set 20,PIN Access,/portal/:staffId-20
Data Tools 20,Upload/export CSV - set 20,Pandas,/data/upload-20
Services 20,Manage service templates - set 20,SQL,/services-20
